PageId,Content
0,"이 게임은 좀비 고양이가 정체를 숨긴 채 게임 회사를 운영하며 살아남아야 하는 경영, 디펜스 시뮬레이션 게임입니다. 
밤에는 게임을 개발해 돈을 벌고, 낮에는 게임에 불만을 가진 유저 고양이들을 막아야 합니다.
자산의 상태와 선택은 게임에 영향을 줍니다."
1,"고양이 사회에서 1년은 밤, 낮으로 구성되어 있습니다.
밤은 [연차 이벤트] - [파견 이벤트] - [식량 배급] - [게임 개발] - [잡지 리뷰] - [식량 구매] 순서로 진행됩니다.
낮은 [디펜스 준비] - [디펜스] 순서로 진행됩니다."
2,"[연차 이벤트]
새로운 밤이 시작되면 해당 연차의 이벤트가 발생합니다.
현재 자산(돈, 식량, 구성원)과 특정 조건을 만족하는 이벤트가 랜덤으로 발생합니다."
3,"[파견 이벤트]
사장을 제외한 구성원을 파견 보낼 수 있는 이벤트입니다.
파견을 보낸 고양이는 식량을 줄 수 없습니다.
파견의 결과는 다음 밤에 확인할 수 있습니다.
어떤 결과를 불러올까요?"
4,"[배고픔 상태]
모든 고양이들은 배고픔 상태를 가집니다.
상태 순서 : [배부름] - [배고픔1] - [배고픔2] - [굶주림] - [곧꼬닥] -[사망]
1년이 지날 때마다 오른쪽으로 상태를 진행시킵니다."
5,"[식량 배급]
식량 배급 시간에만 식량을 줄 수 있습니다.
고양이 이미지를 누르면 배고픔 상태를 알 수 있습니다.
식량을 섭취하면 두 단계 이전 상태로 갈 수 있습니다.
사장이 사망하면 게임은 종료됩니다."
6,"[게임 개발]
원하는 장르와 내용을 선택하여 게임을 개발할 수 있습니다.
장르와 내용은 조합이 존재하며 최종 평가에 반영됩니다.
게임 개발 진행 도중 고용은 할 수 없습니다.
개발에 참여한 고양이 수에 비례하여 개발 진행 속도가 결정됩니다."
7,"[잡지 리뷰]
총 4명의 고양이가 게임을 평가합니다.
각 고양이는 서로 다른 특정 퀄리티 점수를 높게 평가합니다.
평가받은 총 점수를 바탕으로 게임의 수익과 디펜스 물량이 정해집니다."
8,"[퀄리티 점수]
퀄리티 점수는 재미, 냥력, 그래픽, 사운드, 버그로 총 5가지가 존재합니다.
배정 작업, 개인 작업을 통해 얻을 수 있습니다.
고양이 능력치에 비례하여 퀄리티 점수를 얻을 수 있습니다.
버그는 평가에 부정적인 영향을 줍니다."
9,"[배정 작업]
게임 개발 시 총 3번의 배정 작업이 있습니다.
기획, 원화, 사운드로 각 직업에 맞는 고양이로 작업을 맡길 수 있습니다.
해당 작업에 맞는 퀄리티 점수를 주로 획득할 수 있습니다.
배정 작업 시 버그는 얻지 않습니다."
10,"[개인 작업]
배정 작업이 끝난 후 개인 작업을 시도할 수 있습니다.
프로그래밍 능력치에 비례하여 작업 시도 확률을 높일 수 있습니다.
개인 작업은 버그를 얻을 수 있습니다."
11,"[식량 구매]
구매 모드로 게임을 시작했을 때 식량을 구매할 수 있는 이벤트입니다.
강탈 모드는 식량을 구매할 수 없습니다."
12,"[디펜스 준비]
디펜스 시작 전 정비를 할 수 있습니다.
구성원 교육, 펜스 수리, 강화로 디펜스에 대비합니다."
13,"[디펜스]
게임에 화가 난 고양이 유저들을 막아야 합니다.
연차, 잡지 리뷰 평가 점수에 의해 디펜스 물량이 정해집니다.
디펜스 물량이 많을수록 보상을 얻을 수 있습니다.
강탈 모드는 추가로 식량을 얻을 수 있습니다."
14,"[고용]
고용 시 해당 고양이를 좀비로 감염시킵니다.
고양이의 능력치 일부를 랜덤하게 전투력으로 전환합니다."
15,"[교육]
구성원을 교육할 시 자금을 소모하여 능력치를 증가시킬 수 있습니다.
또한 교육은 고양이의 식비를 증가시킵니다."
